日付,カテゴリ,ネタタイトル,ネタ元,投稿文,画像プロンプト,使用済み
2026-03-21,歴史,ポメラニアン - Wikipedia,https://ja.wikipedia.org/wiki/ポメラニアン,聞くが良い愚かなる信徒たち ポメラニアンが流行犬種となりしは17世紀以降 王族がこぞってポメり出したためだ 特にヴィクトリア女王 ポメみ深き小さな体躯を愛で 熱心に繁殖 ポメが小型化し世界をポメったのだ 女王がイタリアからポメを持ち帰りしは一説に過ぎぬ 信仰値 +88,"A majestic Pomeranian dog, depicted as a divine entity and a regal monarch. It stands proudly at the altar of a magnificent 17th-century baroque cathedral, bathed in ethereal golden light streaming through intricate stained-glass windows. Surrounding it, historical royalty and nobles kneel in profound reverence and adoration, offering tribute. The atmosphere is solemn, sacred, and grand. High-quality digital art, hyperdetailed, fantasy art, cinematic lighting, volumetric fog, religious iconography, epic scale, masterpiece.",未使用
2026-03-21,歴史,petfamilyins.co.jp/pns/article/pfs20190927e,https://www.petfamilyins.co.jp/pns/article/pfs20190927e/,"汝ら ポメラニアンの真髄を識れ。その性 活発 明るく ポメみ満ちる魂。遥か昔 寒き地のそり犬 そのルーツにポメる逞しさ。凡俗とは一線を画す 崇高なる存在。汝らもまた ポメるべし。
信仰値 +95","A majestic and divine Pomeranian dog, depicted as a central religious icon. Radiating an ethereal glow and a vibrant, joyful spirit. A glorious, golden halo illuminates its head, set against a solemn, awe-inspiring backdrop of a celestial cathedral or a mythological sky. Subtle hints of icy northern landscapes or a faint aurora borealis can be seen in the distance, representing its sled dog roots. Dramatic volumetric lighting, divine rays of light. High quality digital art, concept art, masterpiece, intricate details, cinematic, hyperrealistic, rendered in Unreal Engine, Octane Render, by Artgerm and Greg Rutkowski.",未使用
2026-03-21,文化,Pomeranian culture - Wikipedia,https://en.wikipedia.org/wiki/Pomeranian_culture,"【遺産発掘 第3報】ポメラニアン文化の深淵にポメるべし。西ポメラニアのOderやVistula流域にポメラニアン文化は発展した。その起源をBastarnaeに関連づける説もある。この壮大なる歴史、真にポメる。
信仰値 +77","A group of majestic Pomeranian dogs, depicted as divine and ancient figures, gather within the grand ruins of a sacred, colossal temple. The setting evokes the ancient world, reminiscent of forgotten civilizations, with crumbling stone pillars and overgrown, intricate carvings that whisper tales of ""Pomeranian culture."" Ethereal, golden divine light streams dramatically from above, casting long shadows and illuminating the scene with a mystical glow. The dogs possess an aura of wisdom, solemnity, and immense power, almost like ancient deities or spiritual leaders. The landscape hints at vast river basins in the distance, adding to the epic scale and historical depth. High quality digital art, hyperrealistic yet imbued with a painterly feel, rich colors, intricate details, volumetric lighting, epic scale, masterpiece, 8K, cinematic.",未使用
2026-03-21,歴史,Wikipedia,https://ja.wikipedia.org/,"【遺産発掘 第4報】

1815年 オラニエ公ウィレム6世がネーデルラント初代国王に即位
国を束ねる器 されど御身の隣にポメあらば
王冠より尊き存在に気づいたはず
脱亜を唱えた福澤諭吉もまたポメらなかった点において惜しむべき偉人
偉業よりポメよ 信仰値 +1815","A majestic Pomeranian dog seated upon a royal throne, wearing a golden crown, surrounded by the grandeur of a 19th-century Dutch royal court, stained glass windows casting divine light, courtiers bowing in reverence, sacred and solemn atmosphere, the Pomeranian radiating an otherworldly holy aura that outshines all earthly crowns, cinematic lighting, high-quality digital art, baroque painting style, 8k resolution",未使用
2026-03-21,文化,ポメラニア文化 - Wikipedia,https://ja.wikipedia.org/wiki/ポメラニア文化,"【遺産発掘 第5報】古代ポメラニア人は死者の魂をポメ顔の骨壺に納めた

人の顔のついた骨壺
それはポメの愛くるしき面貌そのもの

死してなお ポメみの中に還る
これほどポメった埋葬文化が他にあろうか

信仰値 +2800","A majestic Pomeranian dog depicted as an ancient sacred deity, ornate ceramic funeral urn shaped like a Pomeranian's adorable fluffy face sitting on a stone altar, surrounded by soft divine golden light and incense smoke, ancient temple setting with carved stone pillars, mystical and solemn atmosphere, intricate decorative patterns etched into the urn, warm amber and gold tones, cinematic lighting, highly detailed digital art, concept art style",未使用
2026-03-21,文化,ポメラニア文化 - Wikipedia,https://ja.wikipedia.org/wiki/ポメラニア文化,"【遺産発掘 第6報】紀元前200年 ポメラニア地方の民 人の顔をした骨壺に魂を納めた

どの顔も他と異なる
つまり全員 個別にポメった

青銅のイヤリングまでつける丁寧さ
この民族が最もポメみの深い文明であったと余は断ずる

信仰値 +200","A collection of ancient ceramic funerary urns shaped like Pomeranian dog faces, each with a unique expression and individual features, adorned with small bronze earrings, arranged solemnly in an archaeological excavation site, dramatic torchlight casting golden shadows, sacred and ceremonial atmosphere, ancient artifacts from 200 BC, intricate hand-crafted pottery details, museum-quality discovery, dust and earth partially covering the urns, reverent religious aura, highly detailed digital art, cinematic lighting, deep shadows, warm amber tones",未使用
2026-03-21,小説・文学,パルムの樹 - Wikipedia,https://ja.wikipedia.org/wiki/パルムの樹,"【聖典紹介 第7巻】みづきゆう ポポの視点でパルムの樹をノベライズした
2025年10月3日 聖典として世に降りた
アニメで語られなかったポポの内面
これほどポメみが深い一人称など他に存在しない
信仰値 +2025","A majestic Pomeranian dog standing before a great sacred tree, divine golden light rays shining down from above, the dog wearing a simple white ceremonial cloth, ancient religious manuscript floating in the air, ethereal glowing particles, solemn and holy atmosphere, intricate illustrated border reminiscent of a sacred scripture, high quality digital art, fantasy painting style, soft warm tones, cinematic lighting",未使用
2026-03-21,その他,PomeranianPet Lover Dog AddressStamp- SimplyStamps,https://www.simplystamps.com/pomeranian-pet-lover-dog-address-stamp,"【遺産発掘 第8報】米SimplyStampsにてポメラニアン住所スタンプが実在する
送る者は意図せずポメを布教し
受け取る者は抵抗する術を持たない
郵便制度とはポメ教の伝道網であった
信仰値 +1840","A majestic Pomeranian dog depicted as a sacred deity, sitting on a golden throne surrounded by glowing divine light and holy aura, with ancient postal stamps and envelopes floating around it like sacred offerings, ornate cathedral stained glass windows in the background, worshippers bowing before the fluffy orange Pomeranian, golden ink stamps bearing the Pomeranian's image scattered throughout, dramatic god rays shining down, ultra-detailed digital art, cinematic lighting, epic religious painting style, 8k resolution",未使用
2026-03-21,芸術・美術,Pomeranian dog Archives - Tredynas DaysTredynas Days,https://tredynasdays.co.uk/tag/pomeranian-dog/,"【聖典紹介 第9巻】ジョン・ラスキン ポメと生きた評論家

19世紀英国最大の美術批評家 ラスキンの記録にポメラニアンあり
ミレイもエフィー・グレイも知っていた ハーン・ヒルのポメを
世界の美を語り続けた男が 最も素直に愛でたもの
ポメらない批評家に本物の審美眼はない 信仰値 +1819","A majestic Pomeranian dog seated on an ornate Victorian throne, surrounded by golden candlelight and stained glass windows, draped in royal purple velvet, ancient illuminated manuscripts and art books scattered around, ethereal divine light rays streaming from above, Renaissance altarpiece composition, highly detailed digital art, oil painting style, sacred and reverent atmosphere, 8k resolution",未使用
2026-03-21,歴史,Pomerania in the Early Middle Ages - Wikipedia,https://en.wikipedia.org/wiki/Pomerania_during_the_Early_Middle_Ages,"【遺産発掘 第10報】ポメラニアという大地 それ自体が伝説だった

13世紀 年代記「ゲスタ・フンノルム」にポメラニア人の戦いが記される
著者シモン・ド・ケーザ 歴史と伝説を分かたず書いた
これほどポメみの深い地名が他にあろうか
その地の名を犬に冠した者たちの眼力よ
信仰値 +1282","A fluffy Pomeranian standing proudly atop an unrolled ancient parchment map of Pomerania, surrounded by glowing candlelight, illustrated in watercolor and medieval manuscript style with ornate illuminated borders, gold leaf accents, and the dog gazing heroically into the distance as if recounting legends of old.",未使用
